MSFT  KO MO LMT MMM MRK MCD MDT LOW MS MET MON  KFT MA
0.022096 -0.010147 -0.016527 0.004093 -0.016979 -0.029716 0.021433 0.014364 -0.02069 0.021739 -0.019032 -0.024242 0 0
-0.008676 0.018828 0.008301 -0.006369 -0.002975 -0.014647 -0.008525 -0.061362 -0.014085 -0.037167 0.014469 -0.004799 0 0
0.028981 0.008008 0.012851 -0.003846 -0.01376 -0.02027 0.017196 0.012452 0.025143 0.007832 0.011345 0.006241 0 0
-0.011294 -0.018741 0.001784 -0.021879 -0.001765 0.001379 -0.008127 0.005203 0.000836 -0.035803 0.00609 0.003665 0 0
-0.008038 0.003529 0.021967 0.007105 0.008251 0.024656 0.007866 0.010588 -0.020607 -0.02015 0.002549 -0.016854 0 0
-0.016349 -0.009516 -0.008714 0.031095 -0.020042 -0.014921 -0.001951 0.001164 -0.011942 -0.056992 -0.001271 -0.004286 0 0
-0.000145 -0.010025 0.004298 -0.026938 0.010481 0.000682 -0.013359 -0.000465 0.000432 0.012617 0.013363 0.018651 0 0
0.016768 0.00865 -0.002723 0.007051 0.007 0.016578 -0.018824 0.000465 -0.003308 0.002923 -0.000942 0.009014 0 0
0.006255 -0.00502 -0.002146 -0.005446 0.004941 0.001617 -0.016156 0.016279 0.0114 -0.003067 0.006914 0.041597 0 0
0.025713 0.001051 -0.00645 0.009127 0.0125 0.01359 0.006158 0.017849 0.015551 0.016923 0.010612 -0.02439 0 0
-0.003306 -0.01827 -0.016329 -0.00801 0.000741 -0.018319 0.009861 0.004946 0.012644 -0.024206 -0.012662 -0.019231 0 0
0.018242 -0.013476 -0.0296 -0.01094 0.001727 0.011629 0.006397 0.001119 0.026637 0.015504 -0.01345 0.007003 0 0
-0.00665 -0.002602 -0.004946 -0.015802 -0.013875 -0.007887 -0.014721 -0.00514 -0.005811 -0.013893 -0.001902 0.017524 0 0
-0.014619 -0.001522 0.004971 0.010436 0.001915 -0.026543 0.01562 0.008985 -0.022699 -0.036228 -0.010165 -0.007655 0 0
-0.000555 -0.000435 0.011954 -0.000794 0.014459 0.004983 -0.003343 -0.018255 0.011822 -0.027309 -0.012195 0.028926 0 0
-0.019284 0.002614 -0.015479 -0.005831 -0.001065 0.007162 0.006374 0.011791 0.015808 -0.018993 -0.0013 0.020616 0 0
-0.025322 -0.018102 -0.016524 -0.035724 -0.009758 0.010529 -0.001333 -0.016136 -0.013126 -0.034512 -0.025699 -0.024134 -0.0352 0
-0.012772 -0.016881 -0.014887 0.027647 0.000994 -0.00203 -0.043057 -0.0041 -0.007542 0.002964 -0.001669 0.008602 0.014925 0
-0.01676 -0.011071 -0.032815 -0.009954 0.011168 0.00678 -0.00593 0.029735 0.029981 -0.003825 0.006689 0.000533 -0.00915 0
0.006579 -0.000457 -0.004464 -0.001359 -0.015299 0.004714 -0.010526 0.037539 0.018913 0.02007 0.008306 -0.027704 0.002639 0
0.031046 0.004114 0.042601 0.011973 -0.014623 0.000804 0.000709 0.038322 0.018826 0.015398 0.021417 0.006575 -0.003289 0
0.006195 -0.00774 0.024946 -0.012638 -0.019056 -0.002545 0.014883 -0.007216 0.019512 0.094355 0.006452 -0.02368 -0.009901 0
-0.014462 -0.016976 -0.002728 -0.02805 0.003782 -0.089566 -0.018156 -0.015576 -0.024081 0.00154 -0.020833 -0.016169 0 0
0.000291 0.01727 0.013465 0.012889 -0.009334 -0.004425 -0.01138 -0.006329 -0.019481 -0.008148 -0.001964 -0.008218 0.005 0
0.018736 0.008259 -0.02595 -0.004149 -0.005964 -0.018963 -0.009352 -0.005308 0.003974 -0.010849 0.005576 0 -0.003648 0
0.014257 0.005233 0.004049 -0.01 -0.006087 -0.008759 -0.001089 -0.020704 -0.029552 -0.018333 -0.000326 0.028286 -0.003329 0
0.022491 0.026483 0.025048 0.028339 0.013648 -0.00975 0.00618 0.041848 0.025014 0.021708 -0.006525 0.001667 0.015698 0
0.003574 -0.007718 0.050942 0.010914 -0.015191 -0.016769 -0.022399 -0.037448 -0.037798 0.003437 0.017406 0.026352 0.019402 0
-0.032877 0.013333 -0.038424 -0.021592 0.027695 0.006885 0.012565 0.019996 0.021916 -0.007473 0.018399 0.027027 -0.017097 0
-0.001841 0.007456 -0.020492 -0.004966 -0.003667 0.005439 -0.005839 0.004635 -0.001888 0.002824 0.001585 -0.002632 0.002954 0
-0.027813 -0.015237 -0.021339 0.009149 -0.003338 -0.008655 -0.006608 -0.003398 -0.021622 -0.006279 0.008861 -0.01847 0.012107 0
-0.035761 -0.014147 -0.022873 0.002747 -0.015802 -0.010914 -0.018847 -0.012998 -0.044199 -0.037283 -0.027917 -0.013441 -0.009053 0
-0.005601 0.013901 -0.011376 -0.019178 0.002182 0.018285 0.000753 -0.000432 -0.00578 -0.003446 0.007422 -0.002997 -0.008809 0
-0.01842 -0.012163 0.024563 0.019274 -0.027862 -0.013622 0.01242 0.031318 -0.018895 -0.037379 -0.006406 0.011791 -0.000987 0
0.031327 0.018805 0.005832 -0.009318 0.000806 -0.021343 -0.009665 -0.05445 0.023407 -0.010948 -0.019987 0.000271 -0.001647 0
0.076692 -0.000439 -0.016964 0.020747 0.016019 -0.021809 0.013514 0.016611 0.059062 0.06918 0.024671 -0.044162 0.019802 0
-0.003631 0.011431 -0.017256 -0.004607 -0.011451 0.008197 0.024074 0.013072 -0.003827 -0.00647 0.00321 -0.054138 -0.005502 0
-0.002243 0.021082 -0.024228 -0.005445 -0.019424 0.024065 -0.000723 0.007957 -0.003567 -0.048356 0.0096 -0.000599 -0.000651 0
0.008991 0.003193 0.02164 0.006296 0.025534 0.023817 0.003257 0.004907 0.004682 0.023268 -0.007924 0.02009 0.024096 0
-0.017405 -0.019308 0.014047 0.009249 0.007886 0.047612 -0.000721 0.004246 0.042215 -0.015215 -0.011182 -0.012346 0.001272 0
0.028341 0.010385 0.007476 0.021294 0.007912 -0.003701 -0.001083 0.006554 0.019474 -0.000849 -0.006462 0.002976 -0.005399 0
-0.046714 -0.012634 0.003928 -0.010557 -0.014392 -0.012927 -0.005421 0.020374 0.009293 0.011045 -0.022764 -0.001484 -0.003831 0
-0.030211 -0.03535 -0.006087 -0.009336 -0.014867 -0.010989 0.009084 0.000206 -0.020716 -0.013445 -0.011647 -0.001486 -0.00641 0
-0.011477 -0.006295 -0.00853 0.002693 -0.038268 -0.01172 0.022326 -0.022021 -0.027161 -0.019932 -0.023569 -0.046429 0.002258 0
0.017491 0.017647 -0.014339 0.002954 0.030824 0.000924 0.032054 0.010101 0.027114 -0.007127 0.008966 0.069288 -0.011909 0
-0.013189 0.000445 -0.010743 0.040161 0.009967 -0.003539 -0.012628 0.003542 0.025876 0.035364 -0.015721 -0.0108 0.013681 0
-0.016819 -0.004667 -0.023529 0.009009 0.000179 0.005868 -0.010024 0.007889 -0.008917 0.007609 0.004514 -0.001475 -0.006748 0
0.005041 -0.011833 0.011816 -0.005357 -0.020004 0.01704 0.009078 -0.003502 0.007969 0.001007 -0.002765 0.00591 -0.010029 0
0.005927 0.007682 0.041905 0.016158 0.024073 0.026113 0.008304 -0.007234 -0.026269 0.00285 0.02773 0.034078 0.011438 0
0.00423 -0.011659 0.005055 0.004291 -0.007866 0.000147 0.008236 -0.040183 -0.027763 0.043129 -0.004047 0.019886 -0.005493 0
0.014743 -0.003857 0.002405 -0.019854 0.002613 -0.002942 -0.007828 0.006291 0.00889 0.009295 -0.002709 0.026462 0.005523 0
-0.008302 0.017991 -0.014616 -0.008974 0.003954 0.00472 -0.004803 -0.011209 -0.013885 0.002699 -0.00747 0.004071 -0.008078 0
-0.011362 -0.002013 -0.008855 -0.011643 -0.021122 -0.010131 -0.007239 0.014825 -0.014081 -0.030087 0.003079 -0.013243 -0.011401 0
0.003327 0.006052 0.016529 0.006806 0.013532 0.015722 0 -0.012675 -0.000275 0.002449 -0.009209 -0.039441 0.004942 0
-0.022457 0.013815 -0.015381 -0.014561 -0.023996 -0.0092 -0.013194 -0.028285 -0.017033 -0.051303 -0.018589 0.012261 -0.016066 0
0.002313 0.002418 -0.007141 0.003694 -0.006193 -0.000442 -0.004574 0.023287 0.003074 -0.037082 0.003858 -0.056338 0.011996 0
0.007845 0.001315 -0.008541 0.024974 0.02167 0.017841 -0.00707 -0.012473 0.00613 -0.003566 -0.000699 0.032836 0.014159 0
0.004731 0.002847 0.003627 0.002821 0.005917 0.008982 -0.002492 -0.003988 0.009416 -0.002684 0.016084 0.010116 0.00974 0
-0.017317 0.00524 0.00384 0.013299 -0.01267 0.005025 -0.001071 -0.041157 0.020027 0.001973 0.013421 0.000858 0 0
-0.023033 0.033449 -0.017102 -0.010601 0.005041 -0.015714 0.017864 0.019258 -0.018827 -0.016115 -0.006791 0.000572 -0.003859 0
0.022468 0.002732 -0.002747 0.009184 -0.005746 0.01582 0.042471 0.004097 -0.010417 -0.035487 0.007863 -0.012857 0.005487 0
-0.042402 -0.003563 0.013085 -0.010364 -0.003119 -0.012002 0.010101 0.005441 -0.029363 -0.033962 -0.012551 0.003184 0.006421 0
0.013251 0.021035 0.030591 0.007407 -0.000736 0.02068 0.001667 0.007441 0.079909 0.040234 0.008245 0.003751 0.011802 0
-0.030622 -0.004738 -0.001759 0.005325 -0.007827 0.002409 -0.001664 0.019472 0.021406 -0.016147 0.000681 -0.008623 0.011349 0
-0.001974 -0.001242 0.004846 -0.016393 0.024687 0.006643 0.008333 -0.001098 0.003881 0.020611 0.001021 -0.00174 0.025561 0
-0.025387 0.02487 0.024551 0.010513 -0.013296 -0.038051 0.019504 0 -0.034794 -0.018512 0.02381 0.004938 -0.000304 0
