COP CVX CVS CAT CL CPB C CSCO COF COST CMCSA
-0.050494 -0.032589 0.004414 -0.028659 -0.018103 -0.002419 -0.022623 -0.005895 -0.044805 -0.01517 -0.019097
0.007759 -0.014134 -0.029113 -0.060811 -0.037226 -0.021129 -0.054356 -0.045219 -0.003244 -0.008802 -0.005015
0.017277 0.003704 -0.087694 0.056355 -0.039942 -0.051663 0 -0.061335 0.001252 -0.009832 -0.027868
-0.049289 -0.034639 -0.004031 0.046992 0.035904 0.013806 0.072607 0.038875 0.07625 0.07303 0.005184
-0.012233 -0.017263 -0.022416 0.005638 0.019622 -0.006993 0.001026 0.003185 -0.005807 0.000298 0.058859
-0.009239 -0.011669 0.008917 -0.049806 0.019784 0.004448 0.006916 -0.029365 0.022664 0.004775 -0.020057
0.03869 0.060048 0.022727 -0.006127 0.022399 0.029151 0.014246 -0.080948 -0.001142 -0.000297 0.024854
0.030372 0.01497 0.024691 0.022831 0.00483 0.003944 0.015801 0.08363 0.052836 0.056447 0.014265
-0.015944 -0.012389 -0.012048 -0.018304 -0.014592 0 0.030864 -0.022989 0.011297 -0.008718 -0.011252
0.01639 0.021505 0.017988 0.032287 0.001742 0.019643 0.011976 -0.035294 0.010097 0.006809 0.023613
-0.006673 -0.001053 0.034741 0.044493 -0.013043 -0.020753 0.029112 0.215157 0.031689 0.026204 0.03363
0.012689 0.019904 -0.037337 0.000211 -0.010573 -0.008273 0.00322 0.033692 -0.009483 -0.032949 0.008336
0.001474 0.015268 -0.003608 0.017289 0.030276 0.008342 -0.011921 0.036061 -0.021852 0.004259 0
0.011776 0.005767 0.002716 -0.033368 -0.015212 -0.014748 -0.015777 0.007363 -0.034255 -0.037602 -0.018667
0.010547 0.02181 -0.024977 0.005575 0.00509 -0.010588 0.006601 -0.030565 0.010355 -0.014689 0.001359
0.033471 0.028166 0.002469 0.008742 0.012749 0.01845 0.037705 0.038382 0.04601 0.065891 -0.013026
-0.008358 -0.001819 0.002771 0.042063 -0.005691 0.003985 0.032498 0.086469 -0.005629 0.06965 0.0022
0.009658 -0.024443 0.009518 -0.015213 -0.004509 -0.007578 -0.015082 0.029769 -0.060797 0.003138 -0.002744
-0.024348 -0.028022 -0.002433 -0.007209 -0.005227 -0.004364 -0.00577 -0.043658 -0.051339 -0.007039 0
0.016043 0.007914 0.01311 -0.003527 0.002277 0.003287 0.028795 0.046885 0.014824 0.028616 0.009078
-0.001404 -0.000561 -0.018959 -0.023111 -0.008038 0.004732 0.010197 -0.080731 0.110364 -0.029862 -0.013359
-0.037772 -0.034456 -0.01204 -0.003836 0.01462 -0.003623 -0.001289 0.071795 0.01587 -0.002894 -0.010776
0.002374 0.008253 0.001866 -0.013581 0.009722 0.018182 -0.013979 0 -0.020144 0.030607 -0.013966
0.007286 0.023173 0.000931 0.017701 0.021492 0.003571 0.0253 0.006579 -0.000419 -0.00128 0.031728
0.007957 -0.024225 0.009615 -0.008374 -0.011614 -0.009964 0.004893 -0.024955 -0.001049 0.009485 0.010983
-0.000359 0.00358 -0.012903 -0.015808 -0.000851 -0.006111 -0.006351 0.04997 -0.036765 0.009649 -0.021184
0.019921 0.011391 -0.004046 0.020242 0.00701 0.011212 0.024712 0.0296 -0.022683 0.011066 -0.004717
0.019004 0.011718 0 0.020056 -0.006791 0.013949 0.009979 -0.025366 0.029234 0.00796 0.025369
0.000863 9e-04 -0.011875 -0.033827 -0.015043 -0.011993 -0.044874 -0.050318 -0.034909 -0.050839 -0.023926
-0.040799 -0.000112 -0.229918 -0.017287 0.002777 0.021421 -0.018319 0.009135 -0.021343 -0.024181 -0.018384
-0.015204 -0.005056 -0.018481 -0.004231 -0.0045 -0.012933 -0.000659 0.021123 -0.051653 0.007994 0.012202
0.022055 0.014794 0.004184 0.010733 0.004172 0.028329 0.019552 0.043735 0.051803 0.04203 -0.014228
-0.032548 -0.02682 -0.03 0.011283 0.012812 0.026171 0.014703 -0.02265 0.013579 0.019787 0.034056
0.005576 -0.003888 0.006443 0.008532 0.000855 0.032886 0.007245 0.03708 0.016727 0.021642 -0.009901
0.013678 -0.003559 0.012804 0.036659 0.005295 0.01527 0.005923 0.031844 0.053184 0.017775 0.030556
0.014406 0.00553 0.034555 0.010672 -0.003568 -0.008 0.011567 0.024905 0.055803 -0.010287 0.008086
-0.004314 0.003552 -0.008147 0.001863 -0.015345 -0.010968 0.008316 0.008452 0.004823 0.031182 -0.018717
0.020942 0.021692 -0.008214 -0.002893 -0.006753 -0.000326 -0.004124 0.005762 0.013 0.009142 -0.009537
-0.007958 -0.002905 -0.00207 -0.009741 -0.009763 -0.011745 -0.00207 0.003125 0.022705 -0.014866 0.003576
0.008021 0.010535 -0.002075 0.024697 0.018662 -0.004952 0.036307 0.016615 0.040154 0.015562 0.016447
-0.055349 -0.031607 0.005405 -0.011846 -0.002247 0.007299 0.01001 0.015832 0.011507 0.001161 0.01699
-0.037813 -0.032556 0.001654 -0.008475 0.011606 -0.006917 -0.007136 0.012569 0.002385 -0.012291 0.016972
0.008171 -0.004177 -0.002477 0.023556 0.002568 -0.001658 -0.025754 -0.005958 -0.049973 -0.010801 -0.007562
0.029525 -0.006471 0.032699 0.018534 0.001196 -0.003987 0.016393 0.034465 -0.000963 0.018514 0.016553
0.025492 0.043662 -0.010822 -0.016197 0.000853 -0.007005 -0.001008 -0.044423 -0.014079 -0.025868 0.002843
-0.00786 -0.0052 0.006078 -0.015854 -0.001534 -0.003359 -0.013118 -0.03234 -0.014084 -0.02201 0
0.013265 0.005809 0.02054 0.004544 0.000854 0.006404 0.021268 0.022977 0.03254 0.030577 -0.004897
-0.016364 -0.015939 0.061563 0.012541 0.003582 -0.008038 0.017421 0.017356 0.0196 0.016853 0.008547
0.011091 0.00493 0.000372 -0.011167 -0.017845 -0.018231 -0.005117 -0.01154 0.026197 -0.004202 0.002054
-0.001097 -0.012497 0.021925 -0.010472 0.002769 0.007565 -0.054402 -0.041624 -0.044261 -0.042194 -0.014095
0.026903 0.010645 -0.008 0.000208 -0.004659 0.003413 0.011716 0.053496 -0.010377 0.009789 0.004679
-0.008555 -0.005149 -0.012097 -0.016183 0.011789 -0.003061 -0.009512 0.027652 -0.028544 -0.00921 -0.020699
0.009707 0.016939 0.001484 -0.000211 -0.004455 0.005118 -0.020668 -0.028376 -0.029582 -0.016145 0.010832
0.008546 0.004396 -0.017414 0.022147 0.002926 0.007468 0.019612 0.033233 0.032956 0.018896 0.015421
