EMC DELL DD DOW EXC RTE DIS DVN
-0.018129 0.032151 0.007956 0.017087 0.022931 0.005998 0.010365 0
-0.037522 -0.009667 -0.020749 -0.014133 -0.004707 0.01084 -0.024426 0.016284
0.064356 0.015184 0.012206 0.003516 0.013513 0.024129 0.001502 -0.002861
0.043605 0.056624 0.029807 0.032076 -0.002 0.002356 0.093 0.050502
0.001671 -0.008763 -0.006407 -0.010447 -0.010243 -0.000784 0.041109 -0.023491
-0.04505 -0.015981 -0.025573 -0.017947 0.021372 0.0115 -0.008429 0.000839
-0.017472 -0.001037 -0.014149 -0.017737 0.020925 -0.005685 -0.032215 -0.007826
-0.039715 0.005189 0.015509 0.00684 -0.025458 -0.023129 0.035599 -0.005634
0.006173 0.004129 -0.019831 -0.011141 0.011512 -0.007715 -0.007143 -0.031161
-0.076074 -0.023989 -0.034419 -0.031327 0.004596 0.020107 -0.028777 -0.033626
-0.001328 -0.01264 -0.000723 -0.012766 0.002832 -0.003942 -0.029167 0.027879
-0.019282 0.012802 0.015184 0.002874 -0.004345 -0.023747 -0.008584 -0.027123
-0.00678 0.011236 0.026116 0.059885 0.020729 0.018919 0.008658 0.063636
0.002048 -0.005208 -0.006247 -0.020546 0.010902 0.019363 -0.012875 0.020228
-0.06267 -0.037347 -0.014901 -0.009108 -0.01015 -0.007806 -0.007246 0.005027
0.002907 0 -0.010872 -0.038997 -0.010895 -0.008655 0.006326 0.006113
-0.034783 0.006889 0.010753 -0.004348 0.017711 0.007672 -0.001451 0.020436
0 0.006482 -0.001182 -0.004949 0.010611 0.011289 -0.002421 0.035995
0.022523 -0.002147 0.004734 0.004535 -0.00231 0.011163 0.019417 0.002874
-0.005139 -0.005737 0.004476 -0.007353 0.000842 -0.001284 -0.002381 0.021099
-0.008118 -0.019834 -0.003049 0.000889 0.00694 0.005398 -0.010979 -0.014031
0.101191 0.011773 0.009645 0.012137 0.012531 0.017643 0.035232 -0.011643
0.120946 0.055636 0.026328 0.03656 -0.00165 -0.01005 0.031235 -0.020681
0.015672 0.01929 0.024291 0.036964 -0.010537 -0.002284 0.026221 0.018712
-0.014837 0.001014 -0.010417 -0.030476 0.003341 0 0.024229 0.026502
