ORCL PEP PG PFE OXY NKE NSC NOV NWSA NYX
-0.047109 0.008153 -0.012935 -0.013699 -0.002146 -0.00495 -0.012719 -0.000626 0 0
-0.101124 0.005533 0.007701 -0.032828 -0.00681 -0.014726 -0.012346 -0.030683 0 0
0.0175 -0.005291 -0.005899 0.000261 -0.006857 0.009897 0.011957 0.003876 0 0
-0.010647 0.006383 0.018476 0.007309 0.024709 0.015 0.044039 -0.018662 0 0
-0.000828 0.013636 0.004767 0.019435 0.00461 -0.004926 0.013374 -0.015738 0 0
-0.095278 -0.014644 -0.005008 -0.022623 0.010942 -0.007327 0.003553 0.011992 0 0
0.013736 0.006369 -0.015232 -0.037711 0.000704 -0.032316 -0.03996 0.0158 0 0
0.03523 -0.010549 -0.002018 0.031622 -0.014432 0.002886 -0.004215 0.018146 0 0
-0.039267 0.021322 0.004717 -0.000786 -0.030357 -0.092086 -0.100529 -0.038192 0 0
0.033606 0.033403 -0.004695 -0.008915 -0.041621 -0.022928 -0.005294 -0.083388 0 0
-0.015817 0.001818 0.004717 -0.020635 -0.052268 -0.006738 -0.063868 -0.028881 0 0
0.009821 -0.016737 -0.02334 -0.012966 -0.024736 -0.011462 -0.09602 -0.034944 0 0
-0.04863 -0.036095 -0.079797 -0.020252 -0.010395 0.033602 0.083159 0.078582 0 0
0.163569 0.008511 0.036716 0.006425 -0.039076 0.0625 0.058064 -0.007143 0 0
-0.021566 0.012658 0.022171 0.026367 -0.042414 -0.016376 -0.104878 -0.035252 0 0
-0.004082 0.003542 0.001831 0.042455 0.035616 -0.004381 0.027929 -0.037286 0 0
-0.013115 0.014947 0.017855 0.031128 0.031305 0.0022 0.003313 0.06584 0 0
0.04485 -0.007977 0.005387 0.008805 0.040616 0.027662 0.064729 0.053779 0 0
0 0.009072 -0.005495 0.024938 -0.011915 0.001709 -0.045285 -0.044828 0 0
0.00159 0.008378 0.012295 0.009732 0.031185 0.024952 0.019493 0.001444 0 0
