HON IBM JNJ HNZ HAL HPQ JPM INTC HD
0.011212 0.021992 -0.018522 0.002054 -0.007253 0.046999 0.018331 0.025593 0.028239
0.033863 0.040809 -0.011008 0.011017 0.004566 0.036444 0.048361 0.053256 0.046122
-0.011594 -0.010379 -0.016431 -0.027369 -0.052273 0.000429 0.034854 -0.013002 -0.01503
0.002053 0.002164 0.017604 0.010943 -0.42446 0.008144 -0.015107 -0.026932 0.00529
-0.012291 -0.006146 -0.019947 -0.00567 0.166667 -0.022109 -0.027408 -0.008724 -0.023275
0.005926 0.015377 0.011167 -0.009591 0 -0.043913 -0.004654 0.007284 -0.006009
-0.007364 0.013992 -0.001603 0.003402 -0.052143 -0.008186 -0.003377 0.026815 0.007922
-0.029674 -0.023945 0.003211 0.030256 0.006782 -0.033929 -0.033359 -0.044308 -0.007239
-0.030887 0.007069 0.001245 0.01519 -0.027695 -0.003322 -0.028309 0.021492 0.037708
-0.00568 0.001982 0.002664 -0.004489 -0.012317 -0.007619 0.018313 0.02104 0.003814
0.024437 0.007088 0.006023 0.01478 0 -0.012524 0.013351 -0.00471 0.0032
0.016109 0.01383 0.016024 0.022464 0.007794 0.009756 0.02178 -0.022479 0.008772
-0.01128 -0.009605 0.010572 -0.009054 -0.008507 0 -0.038947 -0.032375 -0.005731
0.008326 -0.005705 0.02401 -0.003445 0.014041 0.014493 -0.021084 0.013446 0.023653
0.012232 -0.004508 -0.004187 0.006173 0.026154 -0.010952 0.008112 -0.012033 -0.003495
-0.015106 0.007822 0.003532 0.010307 -0.029235 0.006259 0.007492 0.008432 0.005846
0.012577 0.008987 0.005866 0.006072 0.002317 -0.004785 0.000275 0.011768 -0.003487
0.023932 -0.004858 -0.002666 -0.005794 0.016179 0.000962 0.006333 -0.013162 0.001166
0.000592 -0.015785 -0.012696 -0.001457 -0.006823 -0.013449 -0.005472 -0.024504 -0.009515
-0.012419 0.004464 -0.006768 -0.00535 -0.063359 0.054041 0.009354 0.049285 -0.012154
0.01976 0.017778 -0.000341 -0.004157 -0.110839 0.060508 0.026685 0.076364 -0.006747
0.015561 0.015688 -0.009202 -0.013504 -0.063245 0.008711 0.045016 0.007601 0.017982
0.002891 -0.012341 -0.004644 -0.000498 0.079256 -0.006045 -0.002564 -0.014529 -0.007066
-0.01989 0.00524 -0.006566 0.006972 -0.003626 -0.010426 -0.007712 0.008789 0.010081
0.013235 -0.001684 -0.010089 -0.00272 0.103731 0.029851 0.00285 -0.006183 -0.016438
-0.018578 -0.018877 0.024073 0.006447 -0.047815 -0.005541 0.011108 -0.020079 0.000796
-0.016563 -0.014983 -0.000858 -0.005174 -0.051948 -0.019289 -0.020439 -0.002886 0.003181
-0.046617 -0.018785 0.01185 0.014116 -0.016438 -0.015734 -0.026865 0.008394 -0.01843
-0.029968 0.006777 0.004243 0.017338 -0.009285 0.024867 0.015009 -0.004592 0.003432
-0.050406 -0.0122 0.006929 -0.007921 -0.039363 -0.028596 -0.035912 -0.02797 -0.012274
-0.003082 0.021295 0.004196 -0.000484 -0.002927 0.049509 0.009313 0.024325 -0.022204
0.008245 -0.047123 -0.002173 0.004841 -0.015656 -0.039099 -0.025509 -0.030408 0.010417
0.005111 -0.032823 -0.009715 0.017827 0.018887 -0.035383 -0.004177 -0.053166 0
