GD GE F FDX GILD FCX GS GOOG 
-0.008046 0.029603 0.033048 0.038637 0.066938 0.025826 0.035673 0
-0.022222 0.027433 -0.007170 0.025575 0.004140 -0.043303 0.038905 0
-0.001136 0.001284 -0.015000 -0.040554 -0.014431 0.051579 -0.012522 0
0.023322 -0.003590 0.000000 0.004201 0.032985 0.004004 0.019324 0
0.012785 -0.010036 -0.002820 0.006536 -0.019782 0.074776 -0.001777 0
-0.080681 -0.037432 -0.031109 0.013247 -0.048467 -0.046382 -0.025875 0
-0.040478 0.005941 -0.021016 -0.018457 0.048764 -0.011673 -0.008042 0
0.031110 0.000000 -0.015504 -0.003918 0.035669 -0.015748 -0.020391 0
0.023413 0.009664 0.002423 0.007079 0.039975 0.001000 0.023197 0
-0.035849 -0.009040 0.019335 0.028378 -0.022768 0.048951 0.000000 0
0.015044 -0.005098 -0.048014 -0.018228 0.038578 0.023810 -0.013480 0
0.025304 0.021305 0.028643 0.010315 0.002185 0.009302 0.012671 0
0.010695 0.026670 0.008475 0.007657 -0.016279 -0.023041 0.021130 0
-0.045349 -0.037294 -0.027011 0.034954 -0.031472 -0.043396 -0.027310 0
-0.007308 -0.029121 -0.009870 -0.018600 -0.014188 0.007890 -0.009895 0
0.001227 0.001926 0.009346 0.024439 -0.026617 0.086106 -0.023610 0
0.029412 0.041197 0.019938 0.025073 0.005246 0.003604 0.032497 0
0.017619 0.001319 -0.004887 0.003325 -0.010122 -0.004488 0.019207 0
-0.011465 0.021338 -0.006753 0.027219 0.045215 -0.000902 0.029909 0
-0.001420 0.026567 0.012361 0.021889 0.000459 0.009928 0.021131 0
-0.028206 -0.011307 -0.006105 -0.005637 0.020015 0.008937 0.011561 0
-0.012805 0.025413 0.030098 0.012925 -0.008089 0.021258 -0.009143 0
0.021989 0.001487 -0.018485 0.006492 -0.030353 0.042498 0.001845 0
-0.004956 -0.024251 -0.015188 -0.001334 -0.008098 -0.020799 0.014276 0
-0.037293 0.028658 0.013572 0.040312 0.062647 -0.039932 0.033485 0
0.003155 0.007890 -0.005478 -0.002141 -0.004137 0.072566 0.004942 0
-0.033459 0.016389 0.026316 -0.000215 -0.000742 -0.017327 -0.030601 0
0.036049 -0.016847 0.016696 -0.021459 0.013512 -0.029387 -0.010710 0
0.034920 0.009792 0.029326 0.014474 0.025930 0.019896 0.031909 0
0.003884 -0.003636 -0.015385 -0.019239 -0.029559 -0.013571 -0.008835 0
-0.005562 -0.015815 -0.008681 0.000220 0.013390 0.015477 -0.017827 0
0.011185 0.014091 0.043783 0.022477 0.004792 -0.016088 0.022689 0
0.006372 0.007313 0.039150 -0.009698 0.030202 0.016351 0.014309 0
-0.004182 -0.006050 -0.015608 -0.014799 0.009959 0.044877 -0.015748 0
-0.014517 -0.041880 -0.020776 -0.014579 -0.038194 0.030794 -0.035444 0
0.007426 0.009657 0.019542 0.014347 0.030180 -0.012579 0.029259 0
0.004834 -0.030959 0.037240 0.013481 0.012195 0.062898 -0.003917 0
-0.014191 -0.041039 -0.060190 -0.008940 -0.034483 -0.002247 -0.033595 0
-0.004758 0.011647 -0.003371 0.062706 -0.009036 0.035285 0.013487 0
0.003310 0.005355 -0.053551 0.023810 -0.019829 0.018854 0.059998 0
-0.002566 0.005326 0.033949 -0.000202 0.012109 -0.008541 0.016234 0
-0.017638 -0.015894 -0.013249 -0.022654 -0.000584 -0.009332 -0.024388 0
-0.030549 -0.009421 -0.027437 -0.014901 -0.047737 -0.050725 -0.002838 0
-0.011318 -0.000272 0.000000 0.006303 -0.012878 -0.008397 0.005145 0
0.040458 0.007067 -0.000600 -0.016075 0.004659 0.000000 0.009911 0
-0.007002 0.000000 -0.028829 -0.006365 0.027361 -0.039261 -0.018656 0
0.007555 0.016194 -0.004329 0.026052 -0.003611 0.022436 -0.014725 0
-0.001250 0.017264 -0.068323 0.018939 0.038961 -0.042320 -0.005800 0
-0.015140 0.037076 0.005333 0.037582 -0.004506 0.072831 0.018622 0
-0.002541 0.026687 -0.009947 -0.015945 -0.019419 -0.041190 0.039758 0
-0.005222 0.001471 0.021433 0.042208 -0.035140 0.046142 -0.022243 0
0.000000 0.012488 0.013115 -0.005182 0.008796 -0.049430 0.000000 0
-0.000768 -0.005320 -0.007767 0.000965 0.019566 0.016800 0.001733 0
-0.001666 -0.014102 0.004566 0.025443 0.002566 0.018883 0.003569 0
0.007829 0.014303 0.022078 -0.000752 -0.025441 0.003861 -0.007328 0
0.005731 -0.005372 0.013342 -0.018247 0.025031 -0.003077 0.012484 0
0.008484 -0.015959 -0.014420 -0.005940 -0.015431 0.033179 -0.005575 0
0.004646 0.021707 0.031807 -0.018890 -0.065277 -0.008215 -0.018113 0
0.012373 -0.008303 0.031443 0.027112 -0.045580 -0.007530 0.015153 0
0.022346 0.008372 0.012552 0.034430 0.047245 0.005311 0.046512 0
0.013766 -0.038828 -0.025974 0.022004 0.001954 0.037736 -0.010336 0
-0.020846 -0.010417 0.003636 -0.005066 0.037711 -0.029091 -0.033943 0
-0.014599 -0.010270 -0.015097 -0.022550 0.030858 0.037453 0.013514 0
-0.021358 0.001556 -0.062538 -0.013953 0.029935 -0.018051 -0.008000 0
-0.023590 -0.009842 0.013734 -0.048868 0.019770 0.006618 -0.019892 0
0.002584 -0.008632 -0.009677 0.005951 -0.006076 -0.010957 -0.012946 0
-0.004510 0.021372 -0.020195 -0.014198 0.003639 0.014771 -0.000778 0
-0.022007 -0.025575 -0.005319 -0.025805 0.002321 -0.021106 -0.014127 0
0.005713 0.027306 -0.017380 0.030801 0.016061 0.002974 0.015232 0
0.024042 -0.001806 -0.013605 0.012351 -0.063800 0.008154 -0.007233 0
0.015867 -0.009824 -0.004828 0.003345 0.020840 0.002206 -0.024997 0
0.005079 -0.016971 0.007623 0.024711 0.022947 0.022010 0.003104 0
0.053443 -0.002656 -0.006190 0.004785 -0.017917 0.016511 -0.020057 0
0.007436 0.018908 0.011073 0.012190 0.003560 0.045198 0.021053 0
0.022738 -0.002875 0.037646 0.009597 0.001626 -0.024324 0.006300 0
-0.015831 -0.044299 -0.009296 -0.021808 -0.029807 0.042244 -0.038361 0
0.009462 0.011520 -0.003351 0.012957 0.019011 0.000000 0.017992 0
0.049326 0.007321 0.028917 0.007336 -0.023582 0.033223 0.011395 0
-0.001228 -0.008075 -0.026144 0.000000 0.067105 0.019293 -0.018165 0
-0.005254 -0.050203 -0.018121 -0.007843 -0.058158 -0.021451 -0.033958 0
-0.008204 0.034571 -0.040328 0.025786 0.009734 -0.001290 -0.017697 0
-0.002833 0.020713 0.004274 -0.022752 -0.059196 -0.005165 0.010612 0
-0.023864 0.006494 0.030496 -0.027788 0.014249 -0.005840 -0.009646 0
0.020955 0.001344 -0.010323 0.031286 0.055722 0.015013 0.033165 0
0.011517 0.014765 -0.005563 0.032397 0.011065 -0.003215 0.012530 0
-0.005975 -0.007936 0.002797 0.003628 0.009612 -0.009032 -0.015910 0
0.001928 0.016000 0.045328 -0.005964 -0.014208 0.039063 0.012934 0
0.000226 -0.002625 -0.019346 -0.005455 -0.027637 -0.030702 0.006266 0
0.018785 -0.023421 -0.005442 0.004753 0.004584 0.014867 -0.027611 0
-0.004998 -0.019132 -0.023256 -0.017467 -0.018710 -0.049682 -0.052078 0
0.032262 0.032143 0.015406 0.022593 0.038289 -0.032842 0.027406 0
-0.003244 -0.001331 0.011724 -0.009417 0.001194 -0.009009 -0.014020 0
-0.048497 0.015192 -0.006135 0.008044 -0.008500 -0.022378 -0.005914 0
0.007868 0.029142 0.044582 0.022851 0.014890 0.015021 0.037468 0
0.014934 -0.011480 0.021011 0.014007 0.021488 0.017618 -0.006833 0
0.020845 0.004645 -0.016077 0.016262 0.006964 0.018006 -0.006265 0
-0.007644 -0.006452 -0.027451 -0.004473 0.015127 -0.003401 0.000618 0
0.004622 0.024675 0.051075 0.010197 0.046693 0.053242 0.031258 0
0.037897 0.019011 0.033887 0.047391 0.008814 0.027868 0.067449 0
-0.021528 0.007463 -0.026592 -0.005390 -0.018952 -0.042245 0.004714 0
0.013805 0.025926 0.038755 -0.014617 0.002877 0.028966 0.015080 0
-0.041064 -0.014440 0.034251 -0.006667 -0.020219 -0.011516 -0.010014 0
-0.034835 -0.008547 -0.005914 0.011745 0.007250 -0.009709 0.003668 0
0.044253 0.013547 0.023201 -0.021393 -0.000554 0.009804 0.004541 0
-0.003852 -0.001215 -0.011047 -0.015591 -0.009972 0.021359 -0.009923 0
0.006630 -0.026764 0.005879 -0.005337 0.020705 -0.016477 -0.020045 0
-0.002525 0.010250 -0.011689 0.002942 -0.020011 -0.008376 0.004545 0
0.010565 -0.005444 0.001183 -0.008628 0.006713 -0.009747 0.018100 0
-0.008494 -0.007216 0.008269 0.004352 0.039178 0.016404 -0.008889 0
0.022625 0.000000 0.006444 0.000520 0.030481 0.039380 0.020740 0
0.009559 -0.027569 -0.039581 -0.016109 -0.031396 0.022981 -0.013180 0
-0.008936 -0.034794 0.012121 0.003521 0.030003 -0.020644 0.005565 0
-0.008695 0.011215 -0.001796 0.009825 -0.029649 0.003100 -0.006862 0
-0.007255 -0.021917 -0.037193 -0.017721 -0.029483 0.001236 -0.018946 0
0.017234 0.007289 0.002492 0.016979 0.008561 0.015432 0.009315 0
0.021231 0.003752 0.000622 0.009739 0.024096 0.075988 0.005065 0
-0.013545 0.000000 0.024224 0.000689 -0.037701 -0.004520 0.010638 0
0.021607 -0.004005 -0.046089 -0.011704 0.014171 0.018729 -0.019723 0
-0.011252 -0.005362 -0.022886 -0.026123 -0.011781 -0.011142 -0.010625 0
-0.007587 -0.009434 -0.020169 -0.016452 -0.018852 -0.033803 -0.012224 0
0.001805 0.014966 0.005312 0.006909 -0.013846 0.006414 0.001041 0
0.003074 -0.005362 -0.005945 -0.017696 -0.013467 -0.006953 -0.004622 0
0.004121 -0.006469 0.003987 -0.023529 0.010456 0.015169 -0.001045 0
-0.000210 -0.011123 -0.005295 0.007342 -0.031331 0.009770 -0.016965 0
0.014314 0.020576 0.037924 0.022426 0.062018 0.010245 -0.001300 0
-0.005933 -0.092742 -0.044872 -0.013891 -0.008382 -0.016338 -0.038466 0
-0.009319 -0.005926 0.029530 0.019462 0.005072 0.005155 0.021664 0
-0.010147 -0.050671 -0.018253 -0.015455 0.010093 -0.007977 -0.016867 0
-0.011746 0.039246 0.053121 0.028624 0.013045 0.012062 0.036642 0
0.004970 0.016616 0.020177 -0.022980 -0.030137 0.045970 0.005438 0
0.007419 0.004458 -0.019159 -0.019478 0.002260 -0.006511 -0.006232 0
0.006190 -0.002959 0.030876 0.013868 -0.006201 -0.005462 0.021178 0
-0.015061 -0.024926 -0.018949 -0.004806 -0.032331 0.006590 -0.025605 0
0.022184 -0.001826 0.024922 0.001486 -0.012309 -0.006547 -0.029727 0
0.011378 -0.009146 -0.013982 -0.017248 0.016617 -0.031851 -0.025858 0
0.021875 -0.013846 0.006165 0.013587 -0.066258 -0.017016 -0.028683 0
-0.007543 -0.017161 -0.001226 0.011730 -0.092216 0.043855 0.026681 0
-0.023624 -0.020635 -0.026994 -0.009753 0.003099 0.017137 -0.008212 0
0.021355 0.022690 0.008827 -0.039770 0.068315 -0.034783 0.003185 0
0.014523 0.004754 0.027500 -0.006967 0.063625 0.003378 0.005841 0
0.010152 -0.003155 -0.014688 0.006431 -0.006042 -0.012346 0.018937 0
0.001508 0.003165 -0.000621 -0.002905 -0.028572 0.015909 -0.026762 0
-0.006021 -0.023028 -0.009944 -0.016508 -0.066333 -0.010626 -0.043157 0
-0.013327 -0.010333 -0.018205 -0.014415 0.031501 -0.000565 -0.004125 0
0.012688 0.071778 0.023018 0.057103 0.131254 0.019796 0.062124 0
0.009094 -0.041400 -0.003750 -0.008719 -0.023550 0.007765 -0.010818 0
0.002003 -0.026675 -0.006901 -0.013767 -0.041471 0.008255 -0.024034 0
-0.003298 0.006525 0.022742 0.026367 0.060141 0.023472 0.017720 0
-0.002306 0.023663 0.018530 0.014356 0.087699 -0.042667 0.015235 0
0.002412 -0.020583 0.009096 0.013408 -0.010378 0.016713 0.002018 0
0.011128 0.034594 -0.003606 0.001103 -0.027158 -0.000548 0.007425 0
-0.000892 0.045313 0.008444 -0.002753 0.021282 0.019737 0.005621 0
