date  hour minute second price size
20100104 9 32 1 57.6704 2200
20100104 9 32 1 57.6704 800
20100104 9 32 3 57.65 100
20100104 9 32 3 57.65 100
20100104 9 32 3 57.66 100
20100104 9 32 4 57.65 100
20100104 9 32 5 57.68 400
20100104 9 32 6 57.68 100
20100104 9 32 6 57.68 600
20100104 9 32 6 57.68 100
20100104 9 32 6 57.68 200
20100104 9 32 6 57.68 100
20100104 9 32 6 57.685 100
20100104 9 32 6 57.68 200
20100104 9 32 6 57.68 400
20100104 9 32 6 57.68 300
20100104 9 32 6 57.68 100
20100104 9 32 6 57.68 600
20100104 9 32 6 57.65 100
20100104 9 32 6 57.65 100
20100104 9 32 6 57.68 100
20100104 9 32 6 57.68 100
20100104 9 32 6 57.68 900
20100104 9 32 6 57.6725 100
20100104 9 32 6 57.68 180
20100104 9 32 6 57.665 100
20100104 9 32 6 57.68 100
20100104 9 32 6 57.665 100
20100104 9 32 6 57.68 100
20100104 9 32 7 57.68 300
20100104 9 32 7 57.68 400
20100104 9 32 7 57.68 300
20100104 9 32 7 57.68 100
20100104 9 32 7 57.67 100
20100104 9 32 7 57.69 100
20100104 9 32 8 57.65 100
20100104 9 32 9 57.68 100
20100104 9 32 10 57.67 100
20100104 9 32 10 57.67 100
20100104 9 32 11 57.665 100
20100104 9 32 12 57.68 100
20100104 9 32 12 57.68 100
20100104 9 32 12 57.66 100
20100104 9 32 12 57.66 100
20100104 9 32 12 57.66 100
20100104 9 32 12 57.65 100
20100104 9 32 13 57.67 200
20100104 9 32 16 57.65 100
20100104 9 32 16 57.65 100
20100104 9 32 16 57.65 100
20100104 9 32 17 57.68 100
20100104 9 32 17 57.68 100
20100104 9 32 17 57.68 100
20100104 9 32 17 57.68 200
20100104 9 32 17 57.68 100
20100104 9 32 17 57.67 100
20100104 9 32 17 57.68 100
20100104 9 32 17 57.6985 300
20100104 9 32 17 57.68 130
20100104 9 32 17 57.68 100
20100104 9 32 17 57.68 200
20100104 9 32 17 57.68 100
20100104 9 32 17 57.6822 100
20100104 9 32 17 57.68 100
20100104 9 32 17 57.68 100
20100104 9 32 18 57.68 100
20100104 9 32 18 57.68 100
20100104 9 32 20 57.64 100
20100104 9 32 20 57.65 100
20100104 9 32 20 57.64 100
20100104 9 32 20 57.695 100
20100104 9 32 21 57.65 100
20100104 9 32 21 57.658 1000
20100104 9 32 21 57.7 100
20100104 9 32 21 57.651 105
20100104 9 32 21 57.65 100
20100104 9 32 22 57.6555 400
20100104 9 32 22 57.7 100
20100104 9 32 22 57.69 100
20100104 9 32 25 57.65 100
20100104 9 32 25 57.65 100
20100104 9 32 26 57.6496 1000
20100104 9 32 26 57.7 1100
20100104 9 32 26 57.68 1100
20100104 9 32 27 57.67 100
20100104 9 32 27 57.66 100
20100104 9 32 28 57.7 100
20100104 9 32 28 57.7 100
20100104 9 32 28 57.7 100
20100104 9 32 28 57.7 200
20100104 9 32 28 57.68 300
20100104 9 32 28 57.68 100
20100104 9 32 28 57.68 100
20100104 9 32 28 57.68 100
20100104 9 32 28 57.67 300
20100104 9 32 28 57.67 200
20100104 9 32 28 57.67 100
20100104 9 32 28 57.67 100
20100104 9 32 28 57.67 100
20100104 9 32 28 57.67 100
20100104 9 32 29 57.68 100
20100104 9 32 29 57.67 100
20100104 9 32 29 57.7 100
20100104 9 32 29 57.7 100
20100104 9 32 29 57.7 100
20100104 9 32 30 57.68 100
20100104 9 32 30 57.7 100
20100104 9 32 30 57.7 1100
20100104 9 32 31 57.68 100
20100104 9 32 31 57.67 100
20100104 9 32 31 57.7 100
20100104 9 32 33 57.67 100
20100104 9 32 33 57.68 100
20100104 9 32 33 57.65 1600
20100104 9 32 33 57.65 100
20100104 9 32 33 57.7 100
20100104 9 32 33 57.64 100
20100104 9 32 34 57.641 300
20100104 9 32 34 57.641 400
20100104 9 32 34 57.64 300
20100104 9 32 35 57.64 300
20100104 9 32 35 57.65 100
20100104 9 32 35 57.65 100
20100104 9 32 35 57.64 100
20100104 9 32 35 57.6526 500
20100104 9 32 36 57.68 500
