XOM UTX WAG XRX WMB WFC WY WMT VZ USB UPS UNH
-0.012558 -0.039372 0.003659 -0.01308 -0.029468 -0.016227 -0.026095 -0.012961 -0.004664 -0.037778 -0.008036 0.010069
0.000563 -0.03048 -0.025516 -0.036145 0.00731 -0.011455 -0.013213 -0.027273 -0.01687 -0.006928 -0.001409 -0.017876
-0.004274 0.040936 0.034414 -0.0025 -0.018699 0.002781 -0.003906 0.007684 -0.004957 0.013953 -0.002646 0.022051
-0.001469 -0.039327 0.00892 0.003759 0.001422 0.005547 -0.008402 0.007007 -0.001724 0.022936 -0.01008 -0.006336
-0.007242 -0.007358 -0.000956 -0.028714 -0.004544 0.022983 0.011109 0.020671 0.012284 0.008969 0.006252 0.013269
0.007751 0 0.000957 0.015424 -0.037375 0.037969 0.01527 0.013052 0.008722 0.033333 0.017042 0.029932
0.005655 -0.009838 -0.020072 -0.018987 0.009781 -0.000433 -0.006786 -0.009316 -0.012218 -0.010753 -0.005411 0.010073
-0.004387 0.001225 -0.091685 -0.036129 -0.049017 -0.01754 -0.018837 -0.019608 -0.014272 -0.008696 -0.016673 0.01831
0.000452 0.00068 -0.012081 0.088353 0 -0.001322 0.010728 0.002041 0.023166 -0.015351 -0.004105 -0.008669
-0.015131 -0.003125 -0.047826 0.056581 0.013272 0.010373 0.010242 -0.01222 -0.013208 0.00078 0.007885 0.018624
-0.004586 0.012538 -0.005137 0.060535 0.000609 0.013761 -0.001659 0.017938 0.025048 0.021095 0.015292 -0.005564
0.006105 -0.013997 -0.011475 0.050494 0.003044 0.000431 0.014956 -0.011545 -0.002052 0.001758 0.012259 -0.01279
0.004007 -0.029757 -0.013349 -0.007314 0.005463 0.012923 0.020739 0.019467 0.016262 0.022817 0.005363 0.011498
-0.004105 0.026308 0.002941 -0.013684 -0.003924 0.002126 0.004277 -0.010653 0.011219 -0.006864 0.007744 -0.002882
-0.003893 -0.004661 0.004399 0.022412 0.029394 -0.012306 0.002485 -0.012597 -0.017825 0.006479 0 -0.005941
-0.002299 0.003305 -0.007007 -0.039666 -0.007654 -0.0116 -0.022128 -0.025926 -0.006389 -0.015021 -0.014174 0.000161
-0.000922 -0.001784 -0.002058 -0.013043 -0.028478 -0.00413 0.020094 0.019223 0.013704 0.023965 0.002945 0.025517
-0.01107 -0.011276 -0.025044 -0.052863 0.014656 -0.012876 0.004259 -0.015544 0.022222 -0.021702 -0.005354 -0.009449
-0.009445 -0.002921 -0.020852 -0.024419 -0.020463 0.001327 0.0258 0.028421 0.011594 0.00174 -0.002084 0.009221
0.005886 0.037802 -0.012654 -0.005959 -0.004301 0.008611 0.021016 0.061412 -0.006984 0.01954 0.005742 0.025047
0.006203 0.010081 -0.003126 0.026379 0.011416 0.017732 0.011979 0.020251 -0.003607 0.017888 0.009343 0.011065
0.000116 -0.001996 -0.014425 -0.005841 -0.007321 -0.009895 -0.015505 0.010964 0.011765 -0.014226 -0.0024 -0.016568
-0.008024 0.0208 0.0035 0.003525 0.01721 0.031936 -0.009483 -0.002431 0.010197 0.016554 0.001375 0.019784
-0.01231 -0.017111 0.014268 -0.007026 -0.003625 -0.011579 -0.002394 0.011809 -0.004604 -0.012526 -0.00429 0.005759
0.022671 0.008239 0.026883 -0.03184 0.006064 0.003195 -0.002228 0.004631 0.016901 -0.035941 0.002757 0.004069
0.0065 0.003031 0.01796 0.001218 -0.009644 -0.018259 -0.002061 0.000922 -0.01802 -0.015351 -0.010139 -0.012157
-0.019834 -0.009198 -0.020634 -0.002433 -0.01552 -0.007353 -0.000861 -0.023029 -0.020132 -0.000891 -0.010937 -0.001064
-0.036 -0.020292 0.014962 -0.02561 -0.063988 -0.010458 -0.036176 0.00132 -0.017091 -0.015604 -0.005617 -0.011255
