nibm        vol       vix
0.004518192 0.01449961 22.5
-0.007791567 0.01393903 22.62
-0.008946857 0.01337199 22.29
0.004869838 0.01294977 21.59
0.01591091 0.01263669 21.4
-0.004454066 0.01218961 23.8
-0.01762182 0.01277958 22.71
-0.01556622 0.01225856 21.34
0.01241778 0.0129048 20.45
-0.005226319 0.01320084 21.94
0.00168542 0.01325091 21.83
0.01905745 0.01271933 22.13
0.01509638 0.01216311 22.36
0.01896368 0.01320062 22.6
-0.006754139 0.01354104 23.58
0.01227503 0.01432476 22.7
-0.02107143 0.01377053 23.45
0.04826945 0.01374036 22.25
0.03337376 0.01461758 22.52
0.02381023 0.02085212 23.61
-0.007571265 0.02248401 21.88
-0.005137779 0.02261835 21.15
0.01039383 0.02148485 21.01
0.04879011 0.02036097 21.14
-0.02445551 0.01957376 24.35
-0.02192782 0.02428593 23.22
-0.00101948 0.02415332 21.09
0.01117319 0.023794 21.12
0.004692995 0.02247099 24.87
-0.004411256 0.02155992 25.45
0.02584 0.02044941 26.09
-0.01034035 0.01937955 25.11
-0.02250877 0.02017731 23.26
0.007571592 0.01933695 21.78
-0.01397687 0.0195832 21.62
0.001667389 0.01871348 20.85
0.04745121 0.01822321 21.77
0.03310084 0.01727722 22.37
0.002313674 0.02240067 24.43
0.029948 0.0237251 22.66
-0.02124962 0.02242525 23.8
0.001525162 0.02331029 22.86
0.01176797 0.02297606 21.84
-0.006974621 0.02171549 21.68
-0.002959616 0.02089899 21.49
-0.04873207 0.0198656 21.59
-0.02757236 0.01881096 19.96
0.002174362 0.0234839 20.5
-0.005944298 0.02378086 20.3
0.02466674 0.02247563 19.94
-0.01321825 0.02130452 20.04
-0.001425983 0.02168478 19.27
-0.0305069 0.02088581 19.84
0.01224061 0.01975135 19.59
0.005425692 0.02096975 19.46
-0.001780414 0.02024425 19.2
0.004128511 0.01924552 18.42
-0.01066196 0.01822056 18.93
0.01868651 0.01732508 18.16
-0.01205999 0.01673293 18.46
0.01111252 0.01701597 18.15
0.01950703 0.01654232 17.77
0.006393394 0.01613045 18.48
-0.004750698 0.01659238 18.13
-0.005882663 0.01589749 17.7
0.01102253 0.01515136 17.4
0.01874357 0.01449694 18.73
0.009855405 0.01427756 19.16
-0.008764479 0.01491467 20.2
0.03625017 0.01456383 19.78
0.1066747 0.01409412 19.13
-0.003767893 0.01781383 19.61
-0.01437124 0.03806173 19.47
0.05567234 0.03586384 18.19
-0.0166093 0.0340694 20.3
0.002925274 0.03675365 19.42
-0.009909736 0.03499416 19.82
0.01625642 0.03298974 18.11
-0.04766096 0.03123061 18.43
-0.0005618421 0.02992396 19.29
0.01209485 0.03193768 18.3
0.00684739 0.03010308 19.77
0.009549451 0.02866818 20.28
-0.002425057 0.02714068 20.77
0.02333516 0.02580805 20.95
0.009727156 0.02436367 22.14
0.001551202 0.02423058 24.05
-0.006426307 0.02311388 21.91
0.005232667 0.02184467 20.06
0.02511578 0.02072929 20.07
0.07329891 0.01969085 20.19
-0.006557453 0.0203484 22.56
