SLB TXN SO SLE RTN RF  S TGT  T QCOM TWX
0.013937 0.017828 0.006148 -0.026465 -0.018895 -0.016496 -0.013053 -0.041755 -0.030735 -0.003623 -0.020938
-0.028547 -0.033758 0.017515 0.009709 0.017778 0.013045 0.006826 -0.017367 -0.006342 0.021212 0.009036
0.034828 0.037904 0.018815 0.001923 0 0.011037 -0.025424 0.021851 -0.010941 -0.013848 0
-0.006521 -0.050175 -0.003536 0.00096 0.018923 -0.016376 -0.043913 -0.025157 -0.00484 -0.064393 -0.080299
-0.022443 -0.063858 -0.023659 0.002876 -0.015714 -0.012579 -0.088222 0.002258 0.002547 0.016081 -0.029536
0.023175 -0.009286 0.016155 0.00956 0.00029 0.008243 -0.002494 0.01384 0.008085 0.019202 0.042475
0.020322 0.042177 -0.013116 0.013258 -0.036564 0.017094 0.0025 0.003175 -0.051329 0.000621 0.015399
0.008299 -0.010723 -0.007249 0.007477 -0.055422 0.003288 -0.042893 -0.011076 -0.063285 0.021105 0.039179
-0.020782 0.043706 -0.018256 0.006957 0.020408 0.006555 0.015112 -0.01856 0.011088 0.078825 -0.024019
0.060097 0.047236 0.002893 0.016122 0.039063 0.013025 0.021561 0.01402 -0.007906 0.049211 0.011838
0.052527 -0.013116 -0.003296 0.002267 0.022556 0.005 0.003015 0.011254 0.007712 -0.010562 0.031404
-0.028249 -0.075486 0.005374 -0.002714 -0.021177 -0.018834 -0.000501 -0.039746 0.011224 -0.053736 -0.040298
-0.035077 -0.043158 -0.011102 0.004082 -0.027945 -0.01485 0.002005 -0.036424 -0.03885 -0.069025 -0.01804
-0.027516 0.026403 -0.006237 0.006775 -0.003091 -0.010662 5e-04 0.070447 0.000263 0.008831 -0.014888
0.001652 0.046802 0.018201 0.00987 0.057674 0.021553 -0.0015 0.033387 0.027027 0.051099 0.049518
-0.020619 0.021502 -0.020833 0.004442 0.004104 0.004365 0.009014 0.046598 -0.013541 0.036607 -0.019302
-0.003368 -0.001002 0.029787 -0.000442 -0.031825 0.024267 0.019851 0.024043 -0.002331 -0.008221 0.046236
-0.02894 0.053177 0.003306 0.018142 0.002714 0.016973 0.026764 0.023768 -0.005971 0.031085 0.049567
0.032412 0.011432 -0.011532 0.001304 -0.01985 0.002782 -0.009953 -0.034258 -0.006529 0.006943 -0.018492
0.016646 0.001884 0.004583 -0.010417 0.003375 -0.000347 0.029201 0.007036 -0.001314 0.021412 0.056522
0.030881 -0.028518 0.002903 -0.008333 0.001529 0.002775 0.023256 0.003494 0.011845 -0.015456 0.017833
-0.006434 0.029032 -0.006203 -0.012384 -0.008855 -0.005189 -0.016818 0.015376 -0.013007 0.014616 -0.018059
-0.002428 0.060188 -0.001248 -0.001344 -0.037277 0.01356 -0.001387 0.034857 -0.014233 0.023653 0.043096
-0.064909 0.001774 -0.014583 -0.000448 -0.0288 0.004803 -0.009259 0.033683 0.001069 0.00886 0.006579
-0.063341 -0.018005 -0.009302 -0.006281 -0.017463 -0.005463 0.01215 0.012019 0.041667 0.015326 -0.018301
0.044465 -0.019237 0.007256 0.021219 0.033535 -0.006179 0.004155 -0.037609 0.003333 0.018996 -0.01731
-0.003769 0.010113 -0.016949 0.001768 0.043154 0.00829 -0.00092 0.037902 0.019678 0.03978 0.023035
0.065213 -0.051881 0.018534 0.004413 -0.004044 -0.00137 -0.018408 -0.034136 -0.020301 -0.052025 -0.020662
-0.013581 -0.0048 -0.015235 0 -0.002186 -0.013722 -0.002813 0.007123 -0.002558 0.009456 -0.013524
0.005719 0.020579 0.009884 0.007469 0.002191 0.014261 0.010813 0.025843 0.006668 0.025594 0.007952
-0.024853 0.022369 0 0.001744 0.029357 0.007202 0.018605 0.010872 -0.00586 -0.014843 0.016594
0.01987 0.004006 -0.008085 -0.050936 0.01335 -0.007491 -0.005936 -0.003673 -0.020246 -0.006291 -0.016323
-0.008895 -0.047575 -0.013299 0.009633 -0.033533 -0.006175 -0.018374 0.004476 -0.016218 -0.045485 -0.034276
0.025641 0.033516 -0.01087 0.014085 -0.013321 0.005868 0.003744 -0.019397 0.006381 0.019724 -0.00338
0.000208 -0.000624 0 -0.013081 0.028885 -0.012697 0.015851 0.003475 -0.012417 0.005135 -0.013567
0.029577 -0.033385 0.002637 0.01691 0.013122 -0.010428 -0.00413 -0.010123 0.018459 -0.024523 -0.037822
0.024681 0.000646 0.006576 0.017528 -0.001506 0.01686 -0.026728 0.005382 -0.004728 0.045915 0.034842
0.054294 0.080645 -0.000871 0.011484 -0.023831 0.023143 -0.00876 0.060492 0.012668 0.034719 0.031079
